== PHASE 6A — FACTOR SWEEP (borrowed alpha library, our statistics) ==
statistic mean 20d rank IC with Newey-West t (lag = horizon) — Phase 4's Gate-1 statistic, unchanged
reported  5d / 20d / 60d — 5d and 60d may not override the 20d decision
FDR       Benjamini-Hochberg q=0.05, normal-approximation p from the NW t (disclosed)
promotion top 20 US alphas by mean IC, pre-registered, no post-hoc addition

--- US ---
panel      us-2021-09-20_2026-09-17-1254s-555n-689572b-fwd-b1e4fbeabb44
window     2022-09-19 … 2026-09-17 (1003 sessions)
breadth    U1 547.7/day · U2 180.2/day  (U1 is primary; U2 reported)
statistic  mean 20d rank IC · NW t (lag 20) · 982 days on the first row · alphas 436 evaluated, 0 skipped
floors     power floor 0.0297 (t=2 at the lane's realized NW SE 0.01486) · FDR q=0.05 over K=436
luck       E[max|IC|] ≈ 0.0518 at the lane SE 0.01486 · 0.0358 at the sweep's own mean SE 0.01028 — K assumed independent, so this is CONSERVATIVE
labels     alive 0 · reversed 0 · dead 436   (FDR discoveries 0)

  alpha                      univ   meanIC     NWt    ICIR  days  brdth         p       FDR label    
  alpha101_017               U1    -0.0018   -0.41   -0.02   983  547.6    6.8e-1    0.9821 dead     
  qlib158_vma5               U1    -0.0018   -0.87   -0.03   983  547.6    3.8e-1    0.9821 dead     
  qlib158_cntd10             U1    -0.0019   -0.20   -0.02   983  547.6    8.4e-1    0.9881 dead     
  alpha101_030               U2    -0.0019   -0.28   -0.01   983  180.8    7.8e-1    0.9736 dead     
  qlib158_roc5               U2    -0.0020   -0.16   -0.01   983  180.8    8.7e-1    0.9736 dead     
  qlib158_beta5              U2    -0.0020   -0.16   -0.01   983  180.8    8.7e-1    0.9736 dead     
  alpha101_015               U1    -0.0020   -0.54   -0.04   983  474.5    5.9e-1    0.9821 dead     
  alpha101_044               U2    -0.0020   -0.41   -0.02   983  180.1    6.8e-1    0.9727 dead     
  qlib158_cntp10             U1    -0.0020   -0.22   -0.02   983  547.6    8.3e-1    0.9881 dead     
  qlib158_resi10             U2    -0.0021   -0.15   -0.01   983  180.8    8.8e-1    0.9736 dead     
  qlib158_corr20             U1    -0.0021   -0.24   -0.02   983  547.6    8.1e-1    0.9881 dead     
  qlib158_roc10              U1    -0.0023   -0.18   -0.01   983  547.6    8.6e-1    0.9881 dead     
  qlib158_beta10             U1    -0.0023   -0.18   -0.01   983  547.6    8.6e-1    0.9881 dead     
  qlib158_cord5              U1    -0.0023   -0.36   -0.02   983  547.6    7.2e-1    0.9821 dead     
  qlib158_cntn10             U2    -0.0023   -0.22   -0.02   983  180.8    8.3e-1    0.9736 dead     
  qlib158_vma10              U2    -0.0023   -0.51   -0.02   983  180.8    6.1e-1    0.9542 dead     
  alpha101_001               U1    -0.0023   -0.46   -0.02   983  547.6    6.4e-1    0.9821 dead     
  qlib158_imxd5              U2    -0.0024   -0.26   -0.01   983  180.8    8.0e-1    0.9736 dead     
  qlib158_rsv10              U2    -0.0024   -0.21   -0.01   983  180.8    8.3e-1    0.9736 dead     
  qlib158_imin5              U2    -0.0024   -0.30   -0.01   983  180.8    7.6e-1    0.9736 dead     
  alpha101_016               U2    -0.0025   -0.47   -0.02   983  180.8    6.4e-1    0.9542 dead     
  qlib158_imin10             U2    -0.0026   -0.27   -0.02   983  180.8    7.9e-1    0.9736 dead     
  qlib158_vstd10             U1    -0.0028   -0.59   -0.04   983  547.6    5.6e-1    0.9821 dead     
  qlib158_sumd5              U1    -0.0028   -0.33   -0.02   983  547.6    7.4e-1    0.9821 dead     
  qlib158_sump5              U1    -0.0028   -0.33   -0.02   983  547.6    7.4e-1    0.9821 dead     
  alpha101_015               U2    -0.0028   -0.55   -0.03   983  155.8    5.8e-1    0.9458 dead     
  qlib158_imax60             U2    -0.0029   -0.23   -0.02   983  180.8    8.2e-1    0.9736 dead     
  qlib158_rank60             U2    -0.0029   -0.23   -0.02   983  180.8    8.2e-1    0.9736 dead     
  qlib158_rsv10              U1    -0.0030   -0.32   -0.02   983  547.6    7.5e-1    0.9821 dead     
  alpha101_028               U2    -0.0030   -0.54   -0.02   983  180.8    5.9e-1    0.9542 dead     
  qlib158_ksft               U2    -0.0031   -0.55   -0.02   983  180.8    5.8e-1    0.9458 dead     
  alpha101_003               U1    -0.0031   -0.70   -0.06   983  543.2    4.8e-1    0.9821 dead     
  qlib158_sump5              U2    -0.0031   -0.28   -0.02   983  180.8    7.8e-1    0.9736 dead     
  qlib158_sumd5              U2    -0.0031   -0.28   -0.02   983  180.8    7.8e-1    0.9736 dead     
  alpha101_013               U1    -0.0031   -0.83   -0.06   983  547.6    4.1e-1    0.9821 dead     
  qlib158_rsv60              U1    -0.0032   -0.19   -0.02   983  547.6    8.5e-1    0.9881 dead     
  qlib158_vsumn10            U2    -0.0033   -0.64   -0.03   983  180.8    5.2e-1    0.8998 dead     
  qlib158_imax10             U1    -0.0033   -0.37   -0.03   983  547.6    7.1e-1    0.9821 dead     
  academic_illiq             U1    -0.0033   -0.23   -0.03   983  547.6    8.2e-1    0.9881 dead     
  qlib158_cntd5              U1    -0.0034   -0.52   -0.03   983  547.6    6.0e-1    0.9821 dead     
  qlib158_cntp5              U1    -0.0034   -0.52   -0.03   983  547.6    6.0e-1    0.9821 dead     
  alpha101_039               U1    -0.0035   -0.35   -0.03   983  547.6    7.3e-1    0.9821 dead     
  qlib158_rank5              U2    -0.0036   -0.41   -0.02   983  180.8    6.8e-1    0.9727 dead     
  alpha101_020               U2    -0.0038   -0.73   -0.02   983  180.8    4.7e-1    0.8906 dead     
  alpha101_099               U2    -0.0038   -0.47   -0.03   983  180.8    6.4e-1    0.9542 dead     
  alpha101_003               U2    -0.0038   -0.60   -0.04   983  179.3    5.5e-1    0.9143 dead     
  qlib158_vma10              U1    -0.0038   -1.16   -0.05   983  547.6    2.5e-1    0.9821 dead     
  qlib158_imax10             U2    -0.0038   -0.38   -0.02   983  180.8    7.1e-1    0.9727 dead     
  qlib158_cord30             U2    -0.0039   -0.31   -0.03   983  180.8    7.6e-1    0.9736 dead     
  qlib158_qtld10             U1    -0.0039   -0.32   -0.02   983  547.6    7.5e-1    0.9821 dead     
  qlib158_cntn60             U2    -0.0039   -0.30   -0.03   983  180.8    7.6e-1    0.9736 dead     
  qlib158_ksft2              U2    -0.0040   -0.76   -0.02   983  180.8    4.5e-1    0.8678 dead     
  alpha101_101               U1    -0.0041   -1.03   -0.03   983  547.6    3.0e-1    0.9821 dead     
  qlib158_kmid2              U1    -0.0041   -1.03   -0.03   983  547.6    3.0e-1    0.9821 dead     
  qlib158_vsumn5             U1    -0.0042   -1.52   -0.06   983  547.6    1.3e-1    0.9821 dead     
  qlib158_vma30              U1    -0.0042   -0.79   -0.06   983  547.6    4.3e-1    0.9821 dead     
  qlib158_wvma30             U2    -0.0042   -0.31   -0.03   983  180.8    7.6e-1    0.9736 dead     
  qlib158_roc5               U1    -0.0043   -0.44   -0.03   983  547.6    6.6e-1    0.9821 dead     
  qlib158_beta5              U1    -0.0043   -0.44   -0.03   983  547.6    6.6e-1    0.9821 dead     
  qlib158_resi10             U1    -0.0043   -0.38   -0.03   983  547.6    7.0e-1    0.9821 dead     
  qlib158_qtld10             U2    -0.0044   -0.31   -0.02   983  180.8    7.6e-1    0.9736 dead     
  alpha101_026               U2    -0.0044   -0.61   -0.04   983  163.7    5.4e-1    0.9112 dead     
  qlib158_kmid               U1    -0.0046   -1.07   -0.03   983  547.6    2.9e-1    0.9821 dead     
  qlib158_vsumn5             U2    -0.0046   -1.20   -0.04   983  180.8    2.3e-1    0.7816 dead     
  alpha101_101               U2    -0.0046   -0.84   -0.03   983  180.8    4.0e-1    0.8354 dead     
  qlib158_kmid2              U2    -0.0046   -0.85   -0.03   983  180.8    4.0e-1    0.8354 dead     
  qlib158_rsv5               U1    -0.0046   -0.65   -0.03   983  547.6    5.2e-1    0.9821 dead     
  qlib158_resi5              U2    -0.0046   -0.42   -0.02   983  180.8    6.7e-1    0.9727 dead     
  qlib158_imxd10             U1    -0.0047   -0.49   -0.04   983  547.6    6.3e-1    0.9821 dead     
  qlib158_qtld60             U1    -0.0047   -0.28   -0.03   983  547.6    7.8e-1    0.9881 dead     
  alpha101_099               U1    -0.0048   -0.98   -0.07   983  547.6    3.3e-1    0.9821 dead     
  qlib158_rank20             U2    -0.0048   -0.39   -0.03   983  180.8    6.9e-1    0.9727 dead     
  qlib158_imxd5              U1    -0.0050   -0.70   -0.04   983  547.6    4.9e-1    0.9821 dead     
  qlib158_rank10             U1    -0.0050   -0.58   -0.04   983  547.6    5.6e-1    0.9821 dead     
  qlib158_vsumn10            U1    -0.0052   -1.41   -0.07   983  547.6    1.6e-1    0.9821 dead     
  qlib158_imax20             U2    -0.0053   -0.46   -0.03   983  180.8    6.4e-1    0.9542 dead     
  alpha101_039               U2    -0.0053   -0.49   -0.03   983  180.8    6.3e-1    0.9542 dead     
  qlib158_imax5              U1    -0.0054   -0.81   -0.04   983  547.6    4.2e-1    0.9821 dead     
  qlib158_vma20              U1    -0.0055   -1.16   -0.07   983  547.6    2.4e-1    0.9821 dead     
  qlib158_ma20               U2    -0.0056   -0.38   -0.03   983  180.8    7.1e-1    0.9727 dead     
  qlib158_vstd30             U1    -0.0057   -0.73   -0.07   983  547.6    4.7e-1    0.9821 dead     
  alpha101_004               U2    -0.0057   -0.58   -0.04   983  180.8    5.6e-1    0.9240 dead     
  academic_strev             U1    -0.0058   -0.37   -0.03   983  547.6    7.1e-1    0.9821 dead     
  qlib158_wvma30             U1    -0.0058   -0.63   -0.07   983  547.6    5.3e-1    0.9821 dead     
  qlib158_corr5              U2    -0.0058   -0.93   -0.04   983  180.8    3.5e-1    0.8135 dead     
  qlib158_kmid               U2    -0.0059   -1.01   -0.03   983  180.8    3.1e-1    0.7947 dead     
  qlib158_cntn20             U1    -0.0059   -0.49   -0.05   983  547.6    6.2e-1    0.9821 dead     
  qlib158_vstd10             U2    -0.0060   -0.92   -0.06   983  180.8    3.6e-1    0.8135 dead     
  qlib158_ma30               U1    -0.0060   -0.40   -0.04   983  547.6    6.9e-1    0.9821 dead     
  qlib158_rank5              U1    -0.0061   -0.98   -0.04   983  547.6    3.3e-1    0.9821 dead     
  qlib158_kup2               U1    -0.0062   -1.97   -0.06   983  547.6    4.9e-2    0.9821 dead     
  qlib158_resi5              U1    -0.0064   -0.75   -0.04   983  547.6    4.5e-1    0.9821 dead     
  qlib158_vsumd30            U2    -0.0064   -1.06   -0.06   983  180.8    2.9e-1    0.7824 dead     
  qlib158_vsump30            U2    -0.0064   -1.06   -0.06   983  180.8    2.9e-1    0.7824 dead     
  qlib158_qtld20             U1    -0.0064   -0.46   -0.04   983  547.6    6.5e-1    0.9821 dead     
  qlib158_cntn30             U1    -0.0066   -0.47   -0.05   983  547.6    6.4e-1    0.9821 dead     
  qlib158_vstd20             U2    -0.0066   -0.76   -0.06   983  180.8    4.5e-1    0.8678 dead     
  qlib158_corr30             U1    -0.0070   -0.72   -0.07   983  547.6    4.7e-1    0.9821 dead     
  qlib158_beta60             U2    -0.0073   -0.48   -0.05   983  180.8    6.3e-1    0.9542 dead     
  qlib158_roc60              U2    -0.0073   -0.48   -0.05   983  180.8    6.3e-1    0.9542 dead     
  qlib158_rank10             U2    -0.0074   -0.67   -0.04   983  180.8    5.0e-1    0.8998 dead     
  qlib158_vstd20             U1    -0.0074   -1.09   -0.10   983  547.6    2.8e-1    0.9821 dead     
  qlib158_imax5              U2    -0.0077   -0.90   -0.05   983  180.8    3.7e-1    0.8196 dead     
  qlib158_vsumd20            U2    -0.0078   -1.44   -0.07   983  180.8    1.5e-1    0.7816 dead     
  qlib158_vsump20            U2    -0.0078   -1.44   -0.07   983  180.8    1.5e-1    0.7816 dead     
  academic_retskew           U1    -0.0078   -0.83   -0.09   983  547.6    4.1e-1    0.9821 dead     
  qlib158_vsump60            U2    -0.0085   -1.37   -0.08   983  180.8    1.7e-1    0.7816 dead     
  qlib158_vsumd60            U2    -0.0085   -1.37   -0.08   983  180.8    1.7e-1    0.7816 dead     
  qlib158_imin20             U1    -0.0085   -0.72   -0.07   983  547.6    4.7e-1    0.9821 dead     
  qlib158_sumn20             U2    -0.0087   -0.65   -0.05   983  180.8    5.2e-1    0.8998 dead     
  qlib158_sumn20             U1    -0.0092   -0.65   -0.06   983  547.6    5.2e-1    0.9821 dead     
  alpha101_085               U2    -0.0093   -1.11   -0.07   983  177.0    2.7e-1    0.7816 dead     
  qlib158_corr10             U2    -0.0101   -1.16   -0.08   983  180.8    2.4e-1    0.7816 dead     
  qlib158_qtld30             U1    -0.0106   -0.70   -0.06   983  547.6    4.8e-1    0.9821 dead     
  qlib158_sumn30             U1    -0.0109   -0.67   -0.07   983  547.6    5.0e-1    0.9821 dead     
  qlib158_corr20             U2    -0.0114   -1.16   -0.09   983  180.8    2.5e-1    0.7816 dead     
  academic_corr_rewire       U1    -0.0115   -1.15   -0.11   983  547.6    2.5e-1    0.9821 dead     
  qlib158_imin30             U1    -0.0117   -0.86   -0.09   983  547.6    3.9e-1    0.9821 dead     
  academic_high52w           U1    -0.0121   -0.56   -0.06   983  547.6    5.8e-1    0.9821 dead     
  qlib158_qtld20             U2    -0.0121   -0.77   -0.07   983  180.8    4.4e-1    0.8678 dead     
  qlib158_imax60             U1    -0.0123   -0.77   -0.08   983  547.6    4.4e-1    0.9821 dead     
  qlib158_min5               U2    -0.0124   -0.91   -0.07   983  180.8    3.6e-1    0.8135 dead     
  alpha101_031               U2    -0.0128   -1.53   -0.10   983  180.8    1.3e-1    0.7816 dead     
  qlib158_cntd60             U1    -0.0129   -0.83   -0.09   983  547.6    4.1e-1    0.9821 dead     
  qlib158_cntp60             U1    -0.0129   -0.84   -0.09   983  547.6    4.0e-1    0.9821 dead     
  qlib158_min10              U2    -0.0142   -0.91   -0.08   983  180.8    3.6e-1    0.8135 dead     
  qlib158_cord60             U1    -0.0144   -1.49   -0.15   983  547.6    1.4e-1    0.9821 dead     
  academic_corr_rewire       U2    -0.0146   -1.00   -0.10   983  180.8    3.2e-1    0.7947 dead     
  qlib158_corr30             U2    -0.0146   -1.26   -0.12   983  180.8    2.1e-1    0.7816 dead     
  qlib158_sumn30             U2    -0.0148   -1.08   -0.09   983  180.8    2.8e-1    0.7816 dead     
  qlib158_ma30               U2    -0.0151   -0.98   -0.09   983  180.8    3.3e-1    0.7947 dead     
  qlib158_cntn20             U2    -0.0154   -1.26   -0.11   983  180.8    2.1e-1    0.7816 dead     
  alpha101_088               U2    -0.0163   -1.13   -0.11   983  180.8    2.6e-1    0.7816 dead     
  academic_strev             U2    -0.0164   -1.10   -0.10   983  180.8    2.7e-1    0.7816 dead     
  qlib158_min5               U1    -0.0168   -1.23   -0.10   983  547.6    2.2e-1    0.9821 dead     
  academic_hml               U1    -0.0170   -0.82   -0.09   982  547.6    4.1e-1    0.9821 dead     
  qlib158_imin30             U2    -0.0171   -1.55   -0.13   983  180.8    1.2e-1    0.7816 dead     
  qlib158_cord60             U2    -0.0173   -1.34   -0.13   983  180.8    1.8e-1    0.7816 dead     
  qlib158_corr60             U2    -0.0176   -1.51   -0.14   983  180.8    1.3e-1    0.7816 dead     
  qlib158_min60              U1    -0.0180   -1.04   -0.11   983  547.6    3.0e-1    0.9821 dead     
  qlib158_imxd60             U1    -0.0184   -1.08   -0.11   983  547.6    2.8e-1    0.9821 dead     
  qlib158_min10              U1    -0.0184   -1.21   -0.11   983  547.6    2.2e-1    0.9821 dead     
  qlib158_min20              U2    -0.0189   -1.08   -0.10   983  180.8    2.8e-1    0.7816 dead     
  academic_smb               U1    -0.0191   -1.45   -0.16   983  547.6    1.5e-1    0.9821 dead     
  qlib158_imxd60             U2    -0.0192   -1.35   -0.13   983  180.8    1.8e-1    0.7816 dead     
  qlib158_min20              U1    -0.0197   -1.19   -0.12   983  547.6    2.3e-1    0.9821 dead     
  qlib158_imin20             U2    -0.0200   -1.73   -0.14   983  180.8    8.3e-2    0.7816 dead     
  alpha101_088               U1    -0.0204   -1.40   -0.15   983  547.6    1.6e-1    0.9821 dead     
  qlib158_ma60               U2    -0.0206   -1.29   -0.13   983  180.8    2.0e-1    0.7816 dead     
  qlib158_cntn30             U2    -0.0212   -1.67   -0.16   983  180.8    9.5e-2    0.7816 dead     
  qlib158_qtld30             U2    -0.0217   -1.27   -0.12   983  180.8    2.0e-1    0.7816 dead     
  qlib158_beta60             U1    -0.0220   -1.22   -0.13   983  547.6    2.2e-1    0.9821 dead     
  qlib158_roc60              U1    -0.0220   -1.22   -0.13   983  547.6    2.2e-1    0.9821 dead     
  qlib158_sump60             U1    -0.0220   -1.25   -0.13   983  547.6    2.1e-1    0.9821 dead     
  qlib158_sumd60             U1    -0.0220   -1.25   -0.13   983  547.6    2.1e-1    0.9821 dead     
  qlib158_rsqr60             U2    -0.0232   -1.40   -0.14   983  180.8    1.6e-1    0.7816 dead     
  qlib158_min30              U1    -0.0244   -1.42   -0.15   983  547.6    1.6e-1    0.9821 dead     
  qlib158_qtld60             U2    -0.0248   -1.45   -0.15   983  180.8    1.5e-1    0.7816 dead     
  qlib158_corr60             U1    -0.0259   -2.36   -0.25   983  547.6    1.8e-2    0.9821 dead     
  academic_high52w           U2    -0.0264   -1.61   -0.15   983  180.8    1.1e-1    0.7816 dead     
  qlib158_min60              U2    -0.0267   -1.32   -0.14   983  180.8    1.9e-1    0.7816 dead     
  qlib158_min30              U2    -0.0269   -1.41   -0.15   983  180.8    1.6e-1    0.7816 dead     
  qlib158_sumd60             U2    -0.0325   -2.16   -0.21   983  180.8    3.0e-2    0.7816 dead     
  qlib158_sump60             U2    -0.0325   -2.16   -0.21   983  180.8    3.0e-2    0.7816 dead     
  academic_hml               U2    -0.0382   -1.89   -0.21   982  180.9    5.9e-2    0.7816 dead     
  academic_rmw               U1    -0.0401   -1.58   -0.18   983  547.6    1.1e-1    0.9821 dead     
  academic_rmw               U2    -0.0404   -1.52   -0.18   983  180.8    1.3e-1    0.7816 dead     
  academic_bab               U1    -0.0541   -1.59   -0.19   982  547.6    1.1e-1    0.9821 dead     
  academic_bab               U2    -0.0564   -1.64   -0.19   982  180.9    1.0e-1    0.7816 dead     

  PROMOTION to A7 (top 20 by mean IC among FDR survivors clearing the floor) — this spends the design half:
    none — no alpha survived FDR at the power floor

--- HK ---
panel      hk-2021-09-13_2026-09-18-1232s-145n-166277b-fwd-6ff8cbd8477e
window     2022-09-22 … 2026-09-18 (980 sessions)
breadth    U1 100.1/day · U2 25.8/day  (U1 is primary; U2 reported)
statistic  mean 20d rank IC · NW t (lag 20) · 864 days on the first row · alphas 332 evaluated, 0 skipped
floors     power floor 0.0493 (t=2 at the lane's realized NW SE 0.02465) · FDR q=0.05 over K=332
luck       E[max|IC|] ≈ 0.0840 at the lane SE 0.02465 · 0.0614 at the sweep's own mean SE 0.01802 — K assumed independent, so this is CONSERVATIVE
labels     alive 20 · reversed 10 · dead 302   (FDR discoveries 34)

  alpha                      univ   meanIC     NWt    ICIR  days  brdth         p       FDR label    
  academic_high52w           U2     0.1051    3.55    0.36   856   27.8    3.9e-4    0.0065 alive    
  academic_rmw               U2     0.0962    2.27    0.26   904   27.2    2.3e-2    0.0997 dead     
  academic_bab               U1     0.0881    2.05    0.26   864   99.9    4.0e-2    0.3045 dead     
  qlib158_cntd30             U2     0.0860    4.03    0.35   904   27.2    5.7e-5    0.0019 alive    
  qlib158_cntd20             U2     0.0852    4.16    0.34   904   27.2    3.2e-5    0.0013 alive    
  academic_rmw               U1     0.0810    2.33    0.28   955  100.0    2.0e-2    0.2273 dead     
  academic_bab               U2     0.0806    1.74    0.21   855   27.8    8.3e-2    0.1932 dead     
  qlib158_rsv60              U2     0.0801    3.95    0.30   904   27.2    7.8e-5    0.0022 alive    
  qlib158_imax60             U2     0.0777    4.20    0.32   904   27.2    2.6e-5    0.0013 alive    
  academic_high52w           U1     0.0752    2.94    0.33   865   99.9    3.3e-3    0.0908 dead     
  qlib158_rsv30              U2     0.0707    3.21    0.26   904   27.2    1.3e-3    0.0157 alive    
  qlib158_imax30             U2     0.0695    3.21    0.26   904   27.2    1.3e-3    0.0157 alive    
  qlib158_cord20             U2     0.0670    3.51    0.28   904   27.2    4.6e-4    0.0069 alive    
  qlib158_imxd20             U2     0.0669    3.77    0.26   904   27.2    1.7e-4    0.0034 alive    
  qlib158_sumd20             U2     0.0655    2.96    0.24   904   27.2    3.1e-3    0.0253 alive    
  qlib158_sump20             U2     0.0655    2.96    0.24   904   27.2    3.1e-3    0.0253 alive    
  qlib158_sumd30             U2     0.0636    2.86    0.24   904   27.2    4.3e-3    0.0264 alive    
  qlib158_sump30             U2     0.0636    2.86    0.24   904   27.2    4.3e-3    0.0264 alive    
  qlib158_cntd60             U2     0.0627    2.87    0.27   904   27.2    4.1e-3    0.0264 alive    
  academic_retskew           U2     0.0622    2.23    0.23   904   27.2    2.6e-2    0.1064 dead     
  qlib158_cntp30             U2     0.0596    2.76    0.25   904   27.2    5.8e-3    0.0320 alive    
  qlib158_cntp20             U2     0.0582    2.79    0.23   904   27.2    5.2e-3    0.0298 alive    
  qlib158_cntd10             U2     0.0579    2.95    0.21   904   27.2    3.2e-3    0.0253 alive    
  qlib158_rank60             U2     0.0574    3.03    0.22   904   27.2    2.4e-3    0.0237 alive    
  qlib158_rsv20              U2     0.0574    2.53    0.20   904   27.2    1.1e-2    0.0590 dead     
  qlib158_imax20             U2     0.0572    2.71    0.21   904   27.2    6.7e-3    0.0361 alive    
  qlib158_rsqr30             U2     0.0568    3.09    0.23   904   27.2    2.0e-3    0.0208 alive    
  qlib158_cord30             U2     0.0531    2.16    0.21   904   27.2    3.1e-2    0.1066 dead     
  academic_mkt_rf            U2     0.0519    2.20    0.19   904   27.2    2.8e-2    0.1064 dead     
  qlib158_imxd30             U2     0.0511    2.43    0.19   904   27.2    1.5e-2    0.0704 dead     
  qlib158_min60              U2     0.0511    1.47    0.16   904   27.2    1.4e-1    0.2756 dead     
  qlib158_roc20              U2     0.0503    2.11    0.18   904   27.2    3.5e-2    0.1100 dead     
  qlib158_beta20             U2     0.0503    2.11    0.18   904   27.2    3.5e-2    0.1100 dead     
  qlib158_resi30             U2     0.0500    1.99    0.18   904   27.2    4.7e-2    0.1388 dead     
  qlib158_rank30             U2     0.0500    2.44    0.18   904   27.2    1.5e-2    0.0704 dead     
  qlib158_wvma60             U2     0.0472    1.56    0.16   904   27.2    1.2e-1    0.2534 dead     
  qlib158_cntp10             U2     0.0463    2.34    0.17   904   27.2    1.9e-2    0.0838 dead     
  qlib158_min5               U2     0.0396    1.86    0.14   904   27.2    6.4e-2    0.1599 dead     
  qlib158_wvma30             U2     0.0392    1.59    0.15   904   27.2    1.1e-1    0.2455 dead     
  qlib158_sump10             U2     0.0356    1.89    0.13   904   27.2    5.9e-2    0.1551 dead     
  qlib158_sumd10             U2     0.0356    1.89    0.13   904   27.2    5.9e-2    0.1551 dead     
  qlib158_imin60             U2     0.0347    1.27    0.12   904   27.2    2.0e-1    0.3429 dead     
  qlib158_imxd10             U2     0.0345    1.93    0.12   904   27.2    5.3e-2    0.1517 dead     
  qlib158_vsumd20            U2     0.0343    2.19    0.13   904   27.2    2.9e-2    0.1064 dead     
  qlib158_vsump20            U2     0.0343    2.19    0.13   904   27.2    2.9e-2    0.1064 dead     
  qlib158_resi20             U2     0.0341    1.47    0.12   904   27.2    1.4e-1    0.2753 dead     
  qlib158_rsqr30             U1     0.0330    2.82    0.25   955  100.1    4.9e-3    0.1151 dead     
  qlib158_vsumd30            U2     0.0324    2.14    0.12   904   27.2    3.2e-2    0.1066 dead     
  qlib158_vsump30            U2     0.0324    2.14    0.12   904   27.2    3.2e-2    0.1066 dead     
  qlib158_rank20             U2     0.0322    1.58    0.11   904   27.2    1.1e-1    0.2460 dead     
  qlib158_wvma60             U1     0.0320    2.05    0.24   955  100.0    4.0e-2    0.3045 dead     
  qlib158_wvma20             U2     0.0320    1.29    0.12   904   27.2    2.0e-1    0.3361 dead     
  qlib158_cord10             U2     0.0319    1.84    0.12   904   27.2    6.6e-2    0.1636 dead     
  qlib158_wvma30             U1     0.0309    2.20    0.25   955  100.1    2.8e-2    0.2465 dead     
  qlib158_imax60             U1     0.0305    1.71    0.18   955  100.0    8.6e-2    0.3878 dead     
  qlib158_min60              U1     0.0303    1.30    0.15   955  100.0    1.9e-1    0.5445 dead     
  qlib158_vsumd20            U1     0.0301    3.34    0.22   955  100.2    8.3e-4    0.0462 dead     
  qlib158_vsump20            U1     0.0301    3.34    0.22   955  100.2    8.3e-4    0.0462 dead     
  qlib158_min5               U1     0.0294    1.73    0.14   955  100.3    8.3e-2    0.3824 dead     
  qlib158_imxd20             U1     0.0293    1.95    0.18   955  100.2    5.1e-2    0.3172 dead     
  qlib158_cord60             U2     0.0290    1.07    0.11   904   27.2    2.9e-1    0.4344 dead     
  qlib158_rsv10              U2     0.0278    1.55    0.10   904   27.2    1.2e-1    0.2564 dead     
  qlib158_cntd5              U2     0.0278    1.74    0.10   904   27.2    8.2e-2    0.1932 dead     
  qlib158_rsqr20             U2     0.0278    1.68    0.11   904   27.2    9.3e-2    0.2104 dead     
  qlib158_imax20             U1     0.0277    1.97    0.17   955  100.2    4.9e-2    0.3172 dead     
  qlib158_cntd60             U1     0.0275    1.25    0.14   955  100.3    2.1e-1    0.5759 dead     
  qlib158_rsv60              U1     0.0273    1.51    0.15   955  100.0    1.3e-1    0.4765 dead     
  qlib158_imax10             U2     0.0268    1.65    0.10   904   27.2    9.8e-2    0.2173 dead     
  academic_carhart_mom       U2     0.0268    0.84    0.09   903   27.2    4.0e-1    0.5632 dead     
  qlib158_cord30             U1     0.0266    1.75    0.19   955  100.1    8.0e-2    0.3824 dead     
  qlib158_cntp60             U2     0.0263    1.14    0.11   904   27.2    2.6e-1    0.4009 dead     
  qlib158_qtld60             U2     0.0258    0.82    0.08   904   27.2    4.1e-1    0.5632 dead     
  qlib158_cord20             U1     0.0253    1.87    0.18   955  100.2    6.2e-2    0.3218 dead     
  qlib158_wvma20             U1     0.0248    1.97    0.20   955  100.2    4.9e-2    0.3172 dead     
  qlib158_rsqr20             U1     0.0246    2.51    0.18   955  100.2    1.2e-2    0.2211 dead     
  qlib158_imax30             U1     0.0246    1.58    0.15   955  100.1    1.1e-1    0.4289 dead     
  academic_retskew           U1     0.0245    1.13    0.14   955  100.0    2.6e-1    0.6396 dead     
  qlib158_vsump30            U1     0.0241    2.35    0.18   955  100.1    1.9e-2    0.2273 dead     
  qlib158_vsumd30            U1     0.0241    2.35    0.18   955  100.1    1.9e-2    0.2273 dead     
  qlib158_beta10             U2     0.0241    1.17    0.08   904   27.2    2.4e-1    0.3879 dead     
  qlib158_rsv30              U1     0.0241    1.41    0.13   955  100.1    1.6e-1    0.5178 dead     
  qlib158_roc10              U2     0.0241    1.17    0.08   904   27.2    2.4e-1    0.3879 dead     
  qlib158_roc30              U2     0.0240    0.89    0.08   904   27.2    3.8e-1    0.5421 dead     
  qlib158_beta30             U2     0.0240    0.89    0.08   904   27.2    3.8e-1    0.5421 dead     
  qlib158_rsv20              U1     0.0236    1.45    0.13   955  100.2    1.5e-1    0.5083 dead     
  qlib158_sumd20             U1     0.0235    1.33    0.13   955  100.2    1.8e-1    0.5328 dead     
  qlib158_sump20             U1     0.0235    1.33    0.13   955  100.2    1.8e-1    0.5328 dead     
  qlib158_min10              U2     0.0232    0.95    0.08   904   27.2    3.4e-1    0.5137 dead     
  qlib158_cntp5              U2     0.0229    1.48    0.09   903   27.3    1.4e-1    0.2753 dead     
  academic_cma               U2     0.0227    0.69    0.07   904   27.1    4.9e-1    0.6125 dead     
  qlib158_corr30             U2     0.0205    0.74    0.07   904   27.2    4.6e-1    0.5885 dead     
